typeURI;assetId.identificator;assetId.toegekendDoor;datumOprichtingObject;geometry;isActief;isPtz;merk;naam;opstelhoogte;toestand
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;08cf2573-d757-4a6a-b394-85f5556ba2e5-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (157055.1 166290.4 0);True;True;;CAMV6310;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;08edfb90-7dcf-4aab-b411-19463d3eee3a-b25kZXJkZWVsI0NhbWVyYQ;AWV;1970-01-01;POINT Z (209923.2 187816 0);True;True;;CAML2034;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;08fd9acd-5e2b-4c55-b5e5-0be6de7f8145-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (157237 211267.8 0);True;True;;CAMA0459;;in-opbouw
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;091a56b8-1f39-4fa9-957d-0669d0d658b0-b25kZXJkZWVsI0NhbWVyYQ;AWV;2007-01-01;POINT Z (130209.5 177000.4 0);True;True;bosch;CAMV7999;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;091d5cf0-569d-440b-9021-f56b49afd232-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (179120.23 182111.43 0);True;True;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;09585f62-1149-453f-8a25-5be072bc62db-b25kZXJkZWVsI0NhbWVyYQ;AWV;2016-09-05;POINT Z (151537.1 207966.3 0);True;True;bosch;CAMA0882;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;09845629-012c-4808-abc4-20bf8a45cc8a-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (210637.1 186753.8 0);True;False;;CAML2008;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;09f89740-790d-4f1f-bb16-2e684b55fa85-b25kZXJkZWVsI0NhbWVyYQ;AWV;2015-05-05;POINT Z (67952.7 167463.7 0);True;True;bosch;CAMW8777;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0a433806-38e3-4e2a-8229-183264f568dc-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (84923.37 173581.59 0);True;False;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0abd4c57-6827-4651-917b-3f25445758ba-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (152907.6 211245.1 0);True;False;;CAMA1103;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0b42ff12-d32c-4717-a198-de72d9a95710-b25kZXJkZWVsI0NhbWVyYQ;AWV;2020-05-31;POINT Z (208979.5 190148.8 0);True;True;;CAML2060;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0aa9feaf-fed4-4b08-a757-a9a2d0e17667-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (145472 221459 0);True;True;;CAMA0424;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0abc547e-0541-4561-8476-7a08c1946535-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (153145.6 206026.5 0);True;False;;CAMA0190;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0ac50576-fabe-4ad1-b8e0-2c9442ff0404-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (146882.5 181485.2 0);True;False;;CAMV6068;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;10ca2022-1224-439e-951e-36248c629300-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (155657.52 191564.79 0);True;True;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0b26b5b6-acbc-4d4e-9e07-115a6dd0c2a5-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (169501.7 171791 0);True;False;;CAMV6241;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0b5ee01c-4944-4b04-a2f4-c5b7b8394b8a-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (183443.3 204802.2 0);True;False;;CAMA0303;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0b6c4e82-fd9f-4e86-92a0-d6e8a72afa65-b25kZXJkZWVsI0NhbWVyYQ;AWV;2016-03-31;POINT Z (66643.9 169759.3 0);True;True;bosch;CAMW8749;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0b83bcd4-894d-4dea-8e53-176a2df708a0-b25kZXJkZWVsI0NhbWVyYQ;AWV;1970-01-01;POINT Z (157355.6 172496.7 0);True;False;;CAMV6027;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0b89d7dc-7ea5-4dcf-a250-b65e4c5ed53a-b25kZXJkZWVsI0NhbWVyYQ;AWV;2015-10-19;POINT Z (66991 169181.9 0);True;True;bosch;CAMW8750;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0b9eea13-3c9f-4c9b-a82e-9356c5acf19b-b25kZXJkZWVsI0NhbWVyYQ;AWV;2004-01-01;POINT Z (107662.6 210019 0);True;True;bosch;CAMO5083;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0bdff0f7-5a87-4c34-96a4-b5697cdf25a1-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (156808.08 179281.72 0);True;True;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0c30c64f-56a0-414a-8c25-ec63e987a139-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (152907.6 211245.1 0);True;False;;CAMA1108;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;11f52856-a61d-4ee7-aad6-f1566f0a4080-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (211045.55 188224.48 0);True;False;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0c74a125-27d6-48a6-9fe1-abb410759294-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (152792.5 211311 0);True;False;;CAMA1112;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0c731c92-8c85-4df3-947b-fa5a7d535c2d-b25kZXJkZWVsI0NhbWVyYQ;AWV;2021-03-26;POINT Z (158094.3 169667 0);True;True;;CAMV6348;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0c8b9a59-2838-4e12-9a9b-05a7aab48ff2-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (151695.89 210954.24 0);True;False;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0ce546bd-27af-4d16-bb17-d455b32cb0ef-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (155021.9 210705.7 0);True;True;bosch;CAMA0420;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0ce95520-09af-417d-9c40-71472f1094af-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (152792.5 211311 0);True;False;;CAMA1110;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0cef5a1b-4788-4203-817d-4df7f17489d0-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (163163.2 173194.5 0);True;False;;CAMV6223;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0d0c10aa-a07c-47d3-a53d-18d8c38e4d9b-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (155405.6 217460.3 0);True;False;;CAMA0223;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0d9e8161-dd4f-4c54-8a8d-90954da93312-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (143677.55 174266.46 0);True;True;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0d725ab4-4304-406d-8226-0eba3b0c90f1-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (149336.3 222898.6 0);True;True;;CAMA0498;;in-opbouw
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0db740c4-a935-477f-9e97-04bc585e31d2-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (154116.4 203710.7 0);True;True;;CAMA0416;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0dea2f20-1e24-403d-95d2-430c157b1abf-b25kZXJkZWVsI0NhbWVyYQ;AWV;2020-09-25;POINT Z (155612.7 191648.5 0);True;True;;CAMA0775;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;14f08e3e-0979-4d75-b48a-3250bc4685dd-b25kZXJkZWVsI0NhbWVyYQ;AWV;2018-12-17;POINT Z (189637.2 202523.3 0);True;True;;CAMA0899;;in-opbouw
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0e08c62b-d535-4b95-8830-a4121b4e6d00-b25kZXJkZWVsI0NhbWVyYQ;AWV;2014-01-14;POINT Z (200215 183981.7 0);True;True;;CAML2048;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0e1f1b85-f02f-4c6c-808e-a6f4b5361147-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (165272.2 209888.9 0);True;False;;CAMA0254;;in-gebruik
